Geographic Area Name,race_pop,race_pop_hispanic_or_latino_(of_any_race),race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races
"Austin County, Texas",29565,7819,18525,2576,48,89,0,52,456
"Kenedy County, Texas",595,522,72,0,0,1,0,0,0
"Nueces County, Texas",360486,228462,107652,13071,919,7134,242,226,2780
"Colorado County, Texas",21022,6200,11855,2655,27,7,0,0,278
"San Patricio County, Texas",67046,38483,26032,1003,101,671,30,7,719
"Rains County, Texas",11473,1019,9814,322,69,8,0,0,241
"Randall County, Texas",132475,27678,96014,3726,410,2162,64,72,2349
"Real County, Texas",3389,672,2709,5,0,2,0,0,1
"San Saba County, Texas",5962,1790,3846,134,0,3,0,0,189
"Schleicher County, Texas",3061,1603,1444,13,0,0,0,0,1
"Sterling County, Texas",1141,516,606,3,0,0,0,0,16
"Zavala County, Texas",12131,11372,602,60,0,4,0,0,93
"Calhoun County, Texas",21807,10564,9314,528,3,998,17,0,383
"Carson County, Texas",6032,600,5186,78,79,31,0,0,58
"Foard County, Texas",1408,288,1095,25,0,0,0,0,0
"Freestone County, Texas",19709,2984,13225,3103,12,113,0,0,272
"Goliad County, Texas",7531,2699,4396,372,0,43,0,0,21
"Hamilton County, Texas",8269,1019,7004,42,62,24,0,0,118
"Hardeman County, Texas",3952,851,2693,271,41,0,0,0,96
"Mitchell County, Texas",8558,3381,4159,847,53,30,0,0,88
"Briscoe County, Texas",1546,545,885,38,0,0,17,0,61
"Lavaca County, Texas",19941,3694,14734,1255,9,71,0,2,176
"Terry County, Texas",12615,6859,5071,584,28,0,0,0,73
"Jeff Davis County, Texas",2234,727,1422,18,0,51,0,0,16
"Jim Hogg County, Texas",5282,4890,371,2,0,0,0,0,19
"Montgomery County, Texas",554445,131147,370662,25296,805,15610,299,684,9942
"Dallam County, Texas",7243,3260,3655,63,85,107,0,0,73
"Webb County, Texas",272053,259797,9513,780,118,1295,33,132,385
"Armstrong County, Texas",1916,131,1737,7,29,0,0,0,12
"Castro County, Texas",7787,5003,2523,70,11,92,1,4,83
"Kleberg County, Texas",31425,22849,6419,907,16,695,0,64,475
"Willacy County, Texas",21754,19170,2412,129,2,0,0,0,41
"Crosby County, Texas",5861,3261,2330,210,0,14,0,3,43
"Fisher County, Texas",3883,1185,2492,114,0,23,5,0,64
"Duval County, Texas",11355,10135,1028,191,0,0,0,1,0
"Blanco County, Texas",11279,2173,8712,2,0,165,39,0,188
"Jasper County, Texas",35504,2360,26471,5833,62,157,26,97,498
"Kinney County, Texas",3675,2297,1375,3,0,0,0,0,0
"Deaf Smith County, Texas",18899,13659,4781,144,48,103,16,18,130
"Galveston County, Texas",327089,79406,188666,40398,747,10621,203,348,6700
"La Salle County, Texas",7409,6104,1125,94,0,12,0,0,74
"Roberts County, Texas",885,123,726,0,0,8,0,0,28
"Tyler County, Texas",21496,1621,17043,2411,12,60,0,9,340
"Wheeler County, Texas",5482,1448,3740,142,13,5,17,0,117
"Bowie County, Texas",93858,7098,60017,22765,822,997,17,49,2093
"Brewster County, Texas",9216,4099,4722,21,168,111,0,16,79
"Kent County, Texas",749,122,613,8,6,0,0,0,0
"Smith County, Texas",225015,43377,134889,38735,725,3865,299,315,2810
"Crockett County, Texas",3633,2306,1295,32,0,0,0,0,0
"Hardin County, Texas",56379,3142,48896,3169,110,326,0,76,660
"Howard County, Texas",36667,15394,18015,2027,259,299,10,21,642
"Leon County, Texas",17098,2457,13048,1174,85,136,52,0,146
"Montague County, Texas",19409,2111,16694,120,32,0,0,0,452
"Panola County, Texas",23440,2013,17184,4023,29,21,0,0,170
"Erath County, Texas",41482,8671,31082,674,213,312,21,9,500
"Brazoria County, Texas",353999,106731,170322,47228,1013,22670,21,595,5419
"Motley County, Texas",1156,224,861,19,0,0,0,11,41
"Donley County, Texas",3387,373,2749,166,13,14,0,0,72
"Atascosa County, Texas",48828,31200,16541,124,29,152,0,12,770
"Coleman County, Texas",8391,1465,6463,254,39,79,0,0,91
"Nolan County, Texas",14966,5527,8432,743,70,66,0,0,128
"Hudspeth County, Texas",4098,3212,720,49,0,74,0,0,43
"Medina County, Texas",49334,25470,21679,1157,99,356,11,0,562
"Ward County, Texas",11586,6131,4724,533,55,67,0,0,76
"Henderson County, Texas",80460,10072,63153,5080,568,530,37,32,988
"Harrison County, Texas",66645,8627,42414,14084,188,489,15,43,785
"Menard County, Texas",2123,728,1319,14,12,0,0,0,50
"Lamar County, Texas",49532,3804,37005,6135,194,429,111,19,1835
"Fayette County, Texas",25066,5212,17917,1592,13,119,0,0,213
"Williamson County, Texas",527057,128133,316640,31855,866,33636,366,1198,14363
"Polk County, Texas",47837,7193,33877,4850,693,313,62,31,818
"Refugio County, Texas",7236,3631,3028,400,5,14,0,0,158
"Caldwell County, Texas",41401,21312,16686,2425,136,401,26,0,415
"Wilbarger County, Texas",12906,3739,7583,1221,78,90,0,27,168
"Reagan County, Texas",3752,2652,1064,27,0,0,0,0,9
"Hale County, Texas",34113,20153,11669,1486,10,104,7,22,662
"Shelby County, Texas",25478,4605,15729,4576,39,415,0,35,79
"Runnels County, Texas",10310,3495,6368,317,16,25,0,6,83
"San Jacinto County, Texas",27819,3563,20779,2846,134,0,13,0,484
"Tom Green County, Texas",117466,46319,63195,4702,248,1349,50,114,1489
"Victoria County, Texas",91970,42733,41428,5205,155,1001,0,165,1283
"Waller County, Texas",49987,14903,21571,12222,31,428,24,48,760
"Wichita County, Texas",131818,24818,86518,13116,922,2732,59,450,3203
"Wilson County, Texas",48198,18995,27657,642,53,188,44,56,563
"Hockley County, Texas",23162,10970,10948,769,141,72,17,28,217
"Maverick County, Texas",57970,55206,1439,236,652,269,32,136,0
"Midland County, Texas",164194,72325,75960,9934,677,3316,72,100,1810
"Live Oak County, Texas",12123,4782,6847,336,0,117,0,0,41
"Llano County, Texas",20640,2113,17880,26,28,82,0,0,511
"Fannin County, Texas",34175,3752,27018,2133,169,242,13,3,845
"Karnes County, Texas",15387,8304,5645,1218,32,14,0,0,174
"Brazos County, Texas",219193,55519,122867,22279,211,13706,46,296,4269
"Cass County, Texas",30087,1335,22983,5177,10,110,1,6,465
"Gaines County, Texas",20321,8375,11299,391,93,95,13,44,11
"Gray County, Texas",22685,6465,14504,1007,181,153,19,0,356
"Madison County, Texas",14128,3230,7815,2111,27,441,26,14,464
"Jack County, Texas",8842,1465,6854,415,23,12,0,11,62
"Kendall County, Texas",41982,9894,30601,286,31,369,25,0,776
"Bosque County, Texas",18122,3263,14167,280,59,92,0,0,261
"Bexar County, Texas",1925865,1155505,539435,136411,2863,52513,1589,2655,34894
"Bailey County, Texas",7092,4558,2346,46,72,70,0,0,0
"Baylor County, Texas",3591,370,3050,112,0,0,0,0,59
"Cameron County, Texas",421750,377439,38334,1673,543,2786,38,272,665
"Denton County, Texas",807047,155047,484341,74946,2730,66371,620,1354,21638
"Washington County, Texas",34796,5483,22364,5771,79,591,36,0,472
"Morris County, Texas",12424,1176,8046,2927,75,17,6,0,177
"Stephens County, Texas",9372,2199,6709,222,66,38,0,26,112
"Harris County, Texas",4602523,1958963,1384032,855008,8147,317911,2456,10431,65575
"Andrews County, Texas",17818,9979,7215,321,0,63,21,0,219
"Gillespie County, Texas",26208,6006,19653,19,7,42,0,34,447
"Gonzales County, Texas",20667,10436,8667,1356,17,52,4,0,135
"Lynn County, Texas",5808,2751,2852,61,21,43,4,0,76
"Young County, Texas",18114,3332,14176,354,112,89,0,0,51
"Zapata County, Texas",14369,13542,615,0,0,179,0,0,33
"Hood County, Texas",56901,7026,48047,466,469,433,0,0,460
"Hopkins County, Texas",36240,6043,26657,2523,44,243,42,34,654
"Ochiltree County, Texas",10348,5564,4512,18,47,16,0,0,191
"King County, Texas",228,38,190,0,0,0,0,0,0
"Knox County, Texas",3733,1269,2191,213,4,5,0,0,51
"McLennan County, Texas",248429,64733,139766,35575,418,3957,30,304,3646
"Cherokee County, Texas",51903,11855,31641,7008,270,180,43,0,906
"Concho County, Texas",4233,2372,1706,89,6,48,0,0,12
"Delta County, Texas",5215,380,4232,391,16,35,0,3,158
"Edwards County, Texas",2055,1194,859,0,1,0,0,0,1
"Eastland County, Texas",18270,2963,14532,550,71,119,0,0,35
"Jones County, Texas",19891,5447,10613,2842,30,70,0,33,856
"Reeves County, Texas",15125,11352,3117,312,0,228,13,38,65
"Sabine County, Texas",10458,455,8966,650,1,0,20,53,313
"Sherman County, Texas",3058,1302,1721,9,6,0,0,0,20
"Swisher County, Texas",7484,3254,3514,393,50,17,8,15,233
"Hunt County, Texas",92152,14595,66540,7297,952,1144,43,72,1509
"Camp County, Texas",12813,3159,7176,2122,52,44,0,0,260
"Hansford County, Texas",5547,2618,2911,3,4,0,0,0,11
"Guadalupe County, Texas",155137,58462,78655,11140,274,2578,246,530,3252
"Clay County, Texas",10387,616,9356,59,114,60,0,0,182
"Hill County, Texas",35399,7247,25039,2279,115,120,65,15,519
"Nacogdoches County, Texas",65558,12565,39079,11311,182,1082,7,76,1256
"Parmer County, Texas",9852,6201,3401,107,29,25,0,0,89
"Presidio County, Texas",7123,5956,987,0,0,180,0,0,0
"Val Verde County, Texas",49027,40086,7612,611,64,285,31,0,338
"Ector County, Texas",158342,94453,52830,6704,339,1692,50,325,1949
"Glasscock County, Texas",1430,626,804,0,0,0,0,0,0
"Grimes County, Texas",27630,6616,16163,4165,90,45,0,15,536
"Collin County, Texas",944350,143369,547403,88702,3132,135508,582,2691,22963
"Angelina County, Texas",87607,19174,53216,12834,107,987,5,163,1121
"Cottle County, Texas",1623,382,867,243,5,0,0,89,37
"Hays County, Texas",204150,78334,111288,7421,416,2806,78,423,3384
"Lipscomb County, Texas",3469,1051,2252,18,69,9,0,0,70
"Matagorda County, Texas",36743,15441,16330,3587,98,710,53,0,524
"Pecos County, Texas",15797,10837,4040,567,164,74,17,17,81
