county_state,total_cases,total_fatalities,death_rate,total_tests,race_pop,race_pop_hispanic_or_latino_of_any_race,race_pop_white_alone,race_pop_black_or_african_american_alone,race_pop_american_indian_and_alaska_native_alone,race_pop_asian_alone,race_pop_native_hawaiian_and_other_pacific_islander_alone,race_pop_some_other_race_alone,race_pop_two_or_more_races,sex_age_pop,sex_age_pop_male,sex_age_pop_female,sex_age_pop_under_5,sex_age_pop_5_to_9,sex_age_pop_10_to_14,sex_age_pop_15_to_19,sex_age_pop_20_to_24,sex_age_pop_25_to_34,sex_age_pop_35_to_44,sex_age_pop_45_to_54,sex_age_pop_55_to_59,sex_age_pop_60_to_64,sex_age_pop_65_to_74,sex_age_pop_75_to_84,sex_age_pop_85_and_over,sex_age_median_age_in_years,sq_mi,obes_percent,health_ins_noninst_pop,health_ins_noninst_pop_cov_yes,health_ins_noninst_pop_private,health_ins_noninst_pop_public,health_ins_noninst_pop_cov_no,inc_hhlds,inc_hhlds_less_than_10_000,inc_hhlds_10_000_to_14_999,inc_hhlds_15_000_to_24_999,inc_hhlds_25_000_to_34_999,inc_hhlds_35_000_to_49_999,inc_hhlds_50_000_to_74_999,inc_hhlds_75_000_to_99_999,inc_hhlds_100_000_to_149_999,inc_hhlds_150_000_to_199_999,inc_hhlds_200_000_or_more,inc_med_hhld_inc_dol,inc_mean_hhld_inc_dol,inc_per_capita_inc_dol,inc_med_earn_male_full_yr_workers_dol,inc_med_earn_female_full_yr_workers_dol,deaths_per_100_cases,cases_per_100_people,tests_per_100_people,pop_density,state,covid_severity,inc_hhlds_less_than_25_000,inc_hhlds_25_000_to_49_999,inc_hhlds_less_than_99_999,inc_hhlds_100_000_or_more,inc_hhlds_less_than_49_999,inc_hhlds_50_000_to_99_999,race_pop_other,race_pop_minority,sex_age_pop_0_to_44,sex_age_pop_45_to_74,sex_age_pop_75_and_over,sex_age_pop_0_to_64,sex_age_pop_65_and_over,sex_age_pop_0_to_35,sex_age_pop_35_to_59,sex_age_pop_60_to_84,percent_race_pop_hispanic_or_latino_of_any_race,percent_race_pop_white_alone,percent_race_pop_black_or_african_american_alone,percent_race_pop_american_indian_and_alaska_native_alone,percent_race_pop_asian_alone,percent_race_pop_native_hawaiian_and_other_pacific_islander_alone,percent_race_pop_some_other_race_alone,percent_race_pop_two_or_more_races,percent_sex_age_pop_male,percent_sex_age_pop_female,percent_sex_age_pop_under_5,percent_sex_age_pop_5_to_9,percent_sex_age_pop_10_to_14,percent_sex_age_pop_15_to_19,percent_sex_age_pop_20_to_24,percent_sex_age_pop_25_to_34,percent_sex_age_pop_35_to_44,percent_sex_age_pop_45_to_54,percent_sex_age_pop_55_to_59,percent_sex_age_pop_60_to_64,percent_sex_age_pop_65_to_74,percent_sex_age_pop_75_to_84,percent_sex_age_pop_85_and_over,percent_health_ins_noninst_pop_cov_yes,percent_health_ins_noninst_pop_cov_no,percent_inc_hhlds_less_than_10_000,percent_inc_hhlds_10_000_to_14_999,percent_inc_hhlds_15_000_to_24_999,percent_inc_hhlds_25_000_to_34_999,percent_inc_hhlds_35_000_to_49_999,percent_inc_hhlds_50_000_to_74_999,percent_inc_hhlds_75_000_to_99_999,percent_inc_hhlds_100_000_to_149_999,percent_inc_hhlds_150_000_to_199_999,percent_inc_hhlds_200_000_or_more,percent_inc_hhlds_less_than_25_000,percent_inc_hhlds_25_000_to_49_999,percent_inc_hhlds_less_than_99_999,percent_inc_hhlds_100_000_or_more,percent_inc_hhlds_less_than_49_999,percent_inc_hhlds_50_000_to_99_999,percent_race_pop_other,percent_race_pop_minority,percent_sex_age_pop_0_to_44,percent_sex_age_pop_45_to_74,percent_sex_age_pop_75_and_over,percent_sex_age_pop_0_to_64,percent_sex_age_pop_65_and_over,percent_sex_age_pop_0_to_35,percent_sex_age_pop_35_to_59,percent_sex_age_pop_60_to_84
"Santa Clara County, California",23978.0,388.0,0.016181499708065726,839764,1922200,495455,615912,45379,3003,685265,6231,4743,66212,1922200,970469,951731,118688,119462,124678,113909,121662,304906,280977,269412,120020,101578,138006,75122,33780,37.0,1291.086,0.081,1912773,1821047,1466921,513162,91726,635525,20454,17520,29090,29276,44235,71227,65389,114669,83325,160340,116178,154183,52451,90862,64739,1.6181499708065723,1.2474248257205285,43.687649568203106,1488.824137199226,California,1,67064,73511,277191,197994,140575,136616,80189,1306288,1184282,629016,108902,1675292,246908,903305,670409,314706,0.257754135885964,0.32042035168036626,0.023607845177400895,0.0015622723962126729,0.35650036416605974,0.003241598168764957,0.002467485173238997,0.03444594735199251,0.5048741025907814,0.4951258974092186,0.061745916137758816,0.06214857975236708,0.06486213713453334,0.059259702424305484,0.06329310165435438,0.15862345229424618,0.14617469566122152,0.14015815211736551,0.06243887212568931,0.05284465716366663,0.07179585891166372,0.039081261055041096,0.01757361356778691,0.9520455380748264,0.04795446192517356,0.03218441446048542,0.0275677589394595,0.04577317965461626,0.046065851068014634,0.06960387081546753,0.11207584280712797,0.10288973683175327,0.18043192636009597,0.1311120726958027,0.25229534636717676,0.10552535305456119,0.11566972188348217,0.4361606545769246,0.3115439990558987,0.22119507493804336,0.21496557963888124,0.041717303090209136,0.6795796483196338,0.6161075850587868,0.3272375403183852,0.05665487462282801,0.8715492664655082,0.12845073353449174,0.4699328893975653,0.34877171990427636,0.16372177713037145
"San Mateo County, California",10942.0,159.0,0.014531164320965087,285657,765935,189002,303047,16838,1151,212474,10272,2476,30675,765935,377851,388084,44775,46334,43978,40654,42295,111996,110088,108983,51530,47435,66210,33971,17686,39.6,448.63599999999997,0.071,762101,725672,597415,211256,36429,261969,7627,6048,11667,12425,18246,30288,28976,47304,32301,67087,113776,162639,57375,79347,65524,1.4531164320965086,1.4285807542415483,37.29520128992669,1707.2526502554406,California,1,25342,30671,115277,79605,56013,59264,44574,462888,440120,274158,51657,648068,117867,330032,270601,147616,0.24675984254538572,0.3956562893718135,0.021983588685723983,0.0015027384830305444,0.27740474061114845,0.01341105968522133,0.003232650290168226,0.04004909032750821,0.4933199292368151,0.5066800707631849,0.05845796314308655,0.060493383903333836,0.05741740487117053,0.05307761102443419,0.0552200904776515,0.14622128509599377,0.14373021209371553,0.14228753092625354,0.06727724937494696,0.061930842695528995,0.08644336660421577,0.04435232754737674,0.0230907322422921,0.9521992491808828,0.04780075081911715,0.029114131824757892,0.023086701098221547,0.04453580385465456,0.04742927598303616,0.069649462340964,0.11561673327760155,0.11060850711343709,0.18057098358966137,0.1233008485736862,0.2560875523439796,0.096736636777634,0.11707873832400016,0.4400406154926728,0.30387183216334757,0.21381537510163418,0.22622524039103864,0.05819553878592831,0.6043437106281865,0.5746179506093859,0.3579389896009452,0.06744305978966883,0.8461135736061154,0.1538864263938846,0.4308877385156704,0.353294992394916,0.1927265368471215
"Santa Barbara County, California",9781.0,120.0,0.012268684183621306,158693,443738,200060,199356,7881,1407,22996,482,604,10952,443738,222208,221530,28356,27457,27240,37445,49425,58974,50124,49960,25886,24096,35041,19841,9893,33.7,2735.139,0.075,436711,390233,278874,161408,46478,144962,6864,5491,10816,11530,16958,23777,18558,23900,11941,15127,71657,101100,34229,48314,41964,1.2268684183621306,2.204228621393705,35.76276992279227,162.23599604992648,California,2,23171,28488,93994,35841,51659,42335,13445,244382,279021,134983,29734,378963,64775,228897,125970,78978,0.45085162866376105,0.4492651068873975,0.01776048028341048,0.0031707899706583617,0.05182337325178371,0.0010862265571125304,0.0013611635694937103,0.02468123081638264,0.5007639643212887,0.49923603567871133,0.06390257314000604,0.06187660286024636,0.061387575551338856,0.08438538056240394,0.11138329374540833,0.1329027489194074,0.11295854761142836,0.11258896015216185,0.0583362254303215,0.05430231352735172,0.07896776926925347,0.044713321825040904,0.02229468740563125,0.8935726372818638,0.10642736271813626,0.04735034008912681,0.03787889239938742,0.0746126571101392,0.07953808584318649,0.11698238158965799,0.16402229549813055,0.12801975690180875,0.16487079372525212,0.08237331162649522,0.10435148521681543,0.15984188959865345,0.19652046743284446,0.6484044094314372,0.24724410535174735,0.35636235703149793,0.2920420523999393,0.030299410913647244,0.5507348931126025,0.6287967223902393,0.30419526837908856,0.06700800923067216,0.8540242215000744,0.14597577849992563,0.5158381747788109,0.28388373319391175,0.1779834046216461
"Tuolumne County, California",269.0,4.0,0.01486988847583643,20986,53932,6527,43364,880,747,732,125,40,1517,53932,28102,25830,2389,2833,2220,2641,2726,6669,5563,6359,4214,4967,7859,3739,1753,48.4,2220.89,0.055999999999999994,50912,47997,33585,24538,2915,22427,1297,1450,2062,2346,2834,4045,3114,3038,886,1355,56493,80361,33685,54816,44713,1.4869888475836432,0.4987762367425647,38.911963212934815,24.283958232960657,California,1,4809,5180,17148,3924,9989,7159,2429,10568,25041,23399,5492,40581,13351,19478,16136,16565,0.12102276941333531,0.8040495438700586,0.01631684343247052,0.013850775050063043,0.013572647037009567,0.0023177334421122897,0.0007416747014759327,0.028128013053474746,0.5210635615219165,0.47893643847808354,0.04429652154565008,0.05252911073203293,0.04116294593191426,0.04896907216494845,0.05054513090558481,0.12365571460357487,0.10314840910776533,0.11790773566713639,0.0781354298004895,0.09209745605577394,0.14572053697248386,0.0693280427204628,0.03250389379218275,0.9427443431803897,0.057255656819610305,0.05783207740669728,0.06465421144156597,0.0919427475810407,0.10460605520131984,0.1263655415347572,0.18036295536629954,0.1388504927096803,0.13546172024791545,0.03950595264636376,0.060418245864359926,0.21442903642930397,0.23097159673607706,0.7646140812413609,0.17496767289427922,0.44540063316538103,0.31921344807597984,0.04503819624712601,0.1959504561299414,0.46430690499147076,0.4338611584958837,0.10183193651264555,0.7524475265148706,0.24755247348512943,0.3611584958837054,0.29919157457539125,0.3071460357487206
"Sierra County, California",6.0,0.0,0.0,641,2930,324,2567,6,25,0,0,0,8,2930,1542,1388,112,111,153,141,83,187,380,254,482,174,516,281,56,55.5,953.168,0.042,2903,2607,1789,1403,296,1241,45,127,145,118,196,139,135,263,48,25,48125,67464,31972,76042,32394,0.0,0.20477815699658705,21.87713310580205,3.0739596797206787,California,1,317,314,905,311,631,274,33,363,1167,1426,337,2077,853,787,1116,971,0.110580204778157,0.8761092150170648,0.0020477815699658703,0.008532423208191127,0.0,0.0,0.0,0.0027303754266211604,0.5262798634812287,0.4737201365187713,0.03822525597269624,0.0378839590443686,0.052218430034129695,0.04812286689419795,0.02832764505119454,0.06382252559726963,0.1296928327645051,0.08668941979522184,0.1645051194539249,0.059385665529010236,0.17610921501706484,0.09590443686006826,0.01911262798634812,0.8980365139510851,0.10196348604891492,0.0362610797743755,0.10233682514101532,0.1168412570507655,0.09508460918614021,0.1579371474617244,0.11200644641418211,0.10878323932312652,0.2119258662369057,0.038678485092667206,0.020145044319097503,0.25543916196615635,0.25302175664786464,0.7292506043513296,0.2506043513295729,0.508460918614021,0.22078968573730862,0.011262798634812287,0.12389078498293515,0.39829351535836177,0.48668941979522184,0.11501706484641638,0.7088737201365187,0.2911262798634812,0.26860068259385667,0.38088737201365186,0.33139931740614337
"Placer County, California",4093.0,57.0,0.013926215489860738,101974,380077,52498,278380,5868,1244,27196,576,403,13912,380077,185511,194566,20325,25051,24540,24399,20279,41834,48667,52916,26116,24851,40466,21867,8766,41.9,1407.082,0.054000000000000006,377358,359456,299854,118707,17902,140661,5616,4796,8765,9627,12591,21851,18041,27747,15169,16458,84357,109020,41508,74254,58099,1.3926215489860738,1.0768870518342335,26.82982658777037,270.11716445807707,California,1,19177,22218,81287,42916,41395,39892,16135,101697,205095,144349,30633,308978,71099,156428,127699,87184,0.13812464316441142,0.7324305338128853,0.015438976838903697,0.003273020993114553,0.07155392196844323,0.0015154823890948413,0.0010603114632035087,0.03660310936994346,0.48808794007530054,0.5119120599246995,0.05347600617769557,0.0659103286965536,0.0645658642853948,0.06419488682556429,0.053354978070233136,0.11006717059964165,0.12804510664944208,0.13922442031483095,0.06871239248889041,0.06538411953367344,0.1064678999255414,0.05753307882350155,0.023063747609037115,0.9525596383275299,0.04744036167247018,0.03992577900057585,0.03409616027185929,0.06231293677707396,0.06844114573335892,0.08951308465032952,0.15534512053803115,0.1282587213228969,0.19726150105572973,0.10784083719012377,0.1170047134600209,0.1363348760495091,0.15795423038368844,0.5778929482941256,0.30510233824585353,0.29428910643319756,0.2836038418609281,0.04245192421535636,0.2675694661871147,0.5396143413045251,0.3797888322629362,0.08059682643253867,0.81293527364192,0.18706472635808008,0.41156923465508305,0.3359819194531634,0.2293850982827164
"San Luis Obispo County, California",4119.0,32.0,0.00776887594076232,114421,281455,63002,194574,4912,1363,9924,258,244,7178,281455,142769,138686,13457,14079,14326,22464,29568,32771,30037,32501,19546,19948,31047,15299,6412,39.1,3300.638,0.077,274891,254176,199736,95173,20715,105317,5649,4287,7915,7435,11870,18392,13799,18862,8158,8950,70699,93008,35832,60306,45221,0.776887594076232,1.4634666287683644,40.65339041765114,85.27290784387745,California,1,17851,19305,69347,27020,37156,32191,9043,86881,156702,103042,21711,228697,52758,126665,82084,66294,0.2238439537403848,0.6913147750084383,0.017452168197402782,0.004842692437512213,0.03525963297862891,0.0009166651862642341,0.0008669236645289655,0.025503188786839815,0.5072533797587536,0.4927466202412464,0.047812261285107745,0.05002220603648896,0.05089978859853263,0.07981382459007656,0.10505409390488711,0.1164342434847489,0.1067204348830186,0.11547494270842586,0.06944627027411131,0.07087456254108117,0.1103089303796344,0.05435682435913379,0.02278161695475298,0.9246428584420734,0.0753571415579266,0.0536380641301974,0.0407056790451684,0.07515405869897547,0.07059638994654234,0.11270735019037763,0.17463467436406277,0.13102348148921827,0.17909739168415356,0.07746137850489475,0.08498153194640941,0.16949780187434127,0.18330374013691997,0.6584596978645423,0.2565587701890483,0.35280154201126124,0.30565815585328104,0.03212947007514523,0.3086852249915617,0.5567568527828605,0.3661047059032527,0.07713844131388677,0.8125526283064788,0.18744737169352116,0.4500364178998419,0.2916416478655558,0.23554031727984936
"Solano County, California",7189.0,74.0,0.01029350396439004,164374,438530,114406,168870,59500,1258,65994,3928,1288,23286,438530,217931,220599,26706,27649,27594,26976,29952,63551,54436,58247,29377,29652,39080,17772,7538,37.9,821.752,0.083,426327,402631,307314,155354,23696,149067,6100,5323,9438,10274,15969,25215,21756,28449,14073,12470,77609,96029,33700,60730,49969,1.029350396439004,1.639340524023442,37.48295441588945,533.6524888287463,California,1,20861,26243,94075,42522,47104,46971,29760,269660,256864,156356,25310,374140,64390,202428,142060,86504,0.26088523020089843,0.3850819784279297,0.1356805691742868,0.0028686748911134928,0.15048913415273754,0.008957197911203339,0.002937085262125738,0.053100129979704924,0.4969580188356555,0.5030419811643445,0.06089891227510091,0.06304927827058582,0.06292385925706337,0.06151460561421111,0.06830091441862586,0.14491824960664038,0.1241328985474198,0.13282329601167536,0.06698971564089116,0.06761681070850341,0.08911590997195175,0.040526303787654205,0.017189245889676876,0.9444182517175783,0.05558174828242171,0.04092119650895235,0.035708775248713666,0.0633138119100807,0.06892202834966828,0.10712632574614099,0.16915212622512024,0.14594779528668317,0.1908470687677353,0.09440721286401417,0.08365365909289112,0.1399437836677467,0.17604835409580927,0.6310920592753594,0.2852542816317495,0.315992137763556,0.31509992151180344,0.0678630880441475,0.6149180215720703,0.5857387179896473,0.35654573233302167,0.057715549677331085,0.8531685403507172,0.14683145964928282,0.46160581944222745,0.3239459101999863,0.19725902446810936
"Monterey County, California",11153.0,91.0,0.008159239666457456,156994,433212,252588,131238,10606,1046,23647,1963,530,11594,433212,220967,212245,32318,31786,32230,30473,31877,63216,56042,51701,25456,22598,32072,15291,8152,34.1,3281.7209999999995,0.087,416906,370256,237899,171343,46650,126052,4820,4179,9561,10842,15983,24256,17300,19706,9041,10364,66676,93636,28836,43932,40525,0.8159239666457455,2.574490087993869,36.239531684256214,132.00756554259183,California,2,18560,26825,86941,28747,45385,41556,15133,301974,277942,131827,23443,377697,55515,221900,133199,69961,0.5830586410348744,0.30294174676601754,0.02448223964248451,0.0024145222200677727,0.05458528387948625,0.0045312687552514705,0.001223419480531472,0.026762878221286576,0.5100666648199957,0.48993333518000426,0.07460088824870964,0.07337285209089314,0.07439775444816857,0.07034200345327461,0.07358291090736176,0.14592393562505193,0.12936391420366933,0.11934341615652383,0.05876106848379085,0.052163836643490946,0.07403303694265163,0.03529680618265422,0.018817576613759546,0.888104272905643,0.111895727094357,0.03823818741471773,0.03315298448259448,0.07584964935106146,0.0860121219814045,0.1267968774791356,0.19242852156252974,0.1372449465300035,0.1563323073017485,0.0717243677212579,0.0822200361755466,0.14724082124837368,0.2128089994605401,0.6897232888014471,0.2280566750230064,0.3600498207089138,0.32967346809253323,0.03493208867713729,0.6970582532339824,0.641584258977129,0.30430135822645726,0.054114382796413764,0.8718525802609346,0.1281474197390654,0.5122203447734597,0.307468398843984,0.1614936797687968
"Yuba County, California",1210.0,10.0,0.008264462809917356,20411,75493,20990,42085,2340,643,4977,292,126,4040,75493,38468,37025,6126,5796,5815,4955,5600,11930,9193,8410,4592,4001,5647,2311,1117,32.5,632.016,0.126,73339,67493,41668,34119,5846,26179,1289,1879,2835,2497,3956,4744,3264,3591,1450,674,52624,67391,23867,44748,38905,0.8264462809917356,1.6027976103744717,27.036943822606073,119.447925368978,California,1,6003,6453,20464,5041,12456,8008,5101,33408,49415,22650,3428,66418,9075,40222,22195,11959,0.2780390234856212,0.5574689044017326,0.0309962513080683,0.0085173459790974,0.06592664220523757,0.0038679082828871553,0.001669028916588293,0.05351489542076749,0.5095571774866544,0.4904428225133456,0.08114659637317367,0.07677533016306147,0.077027009126674,0.06563522445789675,0.07417906295947968,0.15802789662617725,0.12177287960473157,0.11140105705164717,0.060826831626773346,0.05299829123229968,0.0748016372378896,0.030612109732028134,0.014796073808167646,0.9202879777471741,0.07971202225282592,0.04923793880591314,0.07177508690171512,0.10829290652813324,0.09538179456816533,0.151113487910157,0.18121395011268573,0.12468008709270789,0.13717101493563544,0.055387906337140455,0.025745826807746668,0.22930593223576148,0.2464952824783223,0.7816952519194774,0.19255892127277588,0.4758012147140838,0.30589403720539365,0.06756917859934033,0.44253109559826737,0.6545639993111945,0.3000278171486098,0.04540818354019578,0.8797901792219146,0.12020982077808538,0.5327911197064629,0.2940007682831521,0.15841203820221741
